nev;cimsor;varos;irsz;szul;magassag
Lévai Péter;Zrínyi u.18.;Hódmezővásárhely;6800;2087.08.29;179
Erdei Ilona;Gorzsa tanya 867.;Hódmezővásárhely;6800;2062.03.12;170
Gémes Viktor;Szúnyog utca 20.;Szeged;6725;2071.02.14;179
Fejős János Gergő;Pókföld egyéb 21.;Szeged;6720;2086.02.26;175
Kőrösi René;Kaszap utca 23. IV. e. 20.;Szeged;6721;2085.03.19;177
Szilágyi Zoltán;Kard u. 6.;Kecsekmét;6000;2083.04.06;178
Varga Ildikó;Tátra u. 18.;Kecsekmét;6000;2068.08.13;153
Jancsó Áron;Beretzk Pál u. 4.;Hódmezővásárhely;6800;2075.05.15;174
Csányi Irén Aranka;Dr. Nagy György utca 1.;Szeged;6722;2064.10.09;170
Lázár Norbert Dávid;Könyök utca 33.;Szeged;6720;2077.08.31;168
Rakonczai Benjamin;Nyár u. 60.;Szeged;6722;2054.04.11;167
Szabó Norbert;Mátyás utca 16.;Kecsekmét;6000;2081.08.07;162
Tóbiás Ferenc György;Zrínyi u.43.;Szeged;6710;2069.03.21;151
Ádám Gábor Ferenc;Téglás u. 3.;Szeged;6720;2072.01.26;175
Apró Ottilia;Beretzk Pál u. 4.;Szeged;6722;2067.05.11;167
Tompai Alexandra;Kölcsey utca 37.;Szeged;6722;2088.06.20;152
Török Dániel;Rákóczi u. 73.;Szeged;6722;2069.08.20;154
Nagy Emília;Éva utca 10.III. 7.;Szeged;6725;2043.05.06;150
Beke Tamás;Oldalkosár u. 7. VII. 37.;Szeged;6725;2063.09.19;172
Kocsi Erika;Fehér-tó dűlő 7.;Szeged;6721;2078.10.21;172
Kun Flórián;Kistópart utca 94.;Szeged;6721;2067.04.25;167
Hegyi Anna Rozália;Bacsó B. u. 40.;Szeged;6722;2054.06.13;158
Baranyi Krisztián;Szabadság u. 31.;Hódmezővásárhely;6800;2046.05.07;172
Boldizsár Ilona Anikó;Tanya 4013.;Kecsekmét;6000;2087.02.24;179
Nagy Krisztina Éva;Tátra u. 18.;Szeged;6710;2043.10.02;150
Fátyol József;Kisfaludy utca 6.;Szeged;6720;2087.04.26;156
Pap Szintia;Árendás u. 4.;Szeged;6721;2053.09.26;167
Ardai Katalin;Nyár u. 39/a;Szeged;6720;2052.11.30;171
Olasz Erzsébet;Jókai u. 209.;Hódmezővásárhely;6800;2055.09.02;164
Bánfi Péter;Mandula u. 15.;Hódmezővásárhely;6800;2077.03.22;173
Piukovics Márk Balázs;Kisfaludy u. 63/A;Hódmezővásárhely;6800;2087.05.26;160
Lázár Margit;Bajcsy-Zsilinszky utca 6.;Szeged;6725;2058.03.29;160
Szakács Ibolya;Károlyi utca 96.;Szeged;6722;2058.07.13;151
Pap Krisztián Ferenc;Kaszap u. 15. IV. 22.;Szeged;6720;2061.09.11;164
Csaba Áron;Simon utca 1.;Szeged;6710;2090.06.12;158
Tatár-Kis Magdolna;Toldi utca 4/A;Kecsekmét;6000;2072.09.13;177
Sallai Erika;Észak u. 58.;Szeged;6725;2048.01.04;163
Kocsis Krisztián;Vajda u. 13/b.;Szeged;6722;2086.09.23;176
Csanki Gergő;Szántó K. J. u. 26.;Szeged;6721;2043.07.25;155
Mészáros Mária;Bajcsy Zs. E. u. 39.;Szeged;6725;2073.11.17;157
Szántó Tamás;Nyár utca 14.;Kecsekmét;6000;2084.03.10;179
Érkes Ibolya;Kistőke tanya 100.;Szeged;6722;2091.04.29;154
Dombi Endre;Damjanich u. 152/b;Szeged;6710;2054.09.03;172
Légrádi Erzsébet;Gellért utca 56.;Szeged;6710;2090.08.11;169
Krumesz Ilona;Éva utca 11. 3.e. 8.;Kecsekmét;6000;2069.04.04;169
Mihály Zszuzsanna;Ér Part 7.;Hódmezővásárhely;6800;2049.06.08;152
Kiss Szabolcs;Oldalkosár u. 3.;Hódmezővásárhely;6800;2065.04.09;157
Fodor Gabriella;Ér Part 7.;Szeged;6722;2072.02.06;159
Makara Gyöngyike;Thököly u. 8.;Szeged;6722;2086.11.23;168
Varga Katalin Anasztázia;Kontra u. 58.;Hódmezővásárhely;6800;2042.05.17;164
Salamon Magdolna;Magvető u.14.;Hódmezővásárhely;6800;2067.04.26;154
Rabatin Éva;Buday Nagy Antal u. 10.;Szeged;6720;2085.05.28;160
Hérány Katalin;Rárósi utca 65.;Szeged;6721;2081.09.28;170
Jaksa Roland Attila;Széchenyi u. 16.;Szeged;6710;2060.05.28;173
Rovó Erika;Zrínyi Ilona utca 4.;Hódmezővásárhely;6800;2078.05.13;180
Dénes István Dávid;Mátyás Király utca 68.;Szeged;6710;2046.07.13;157
Doktor Máté;Zrínyi u.18.;Szeged;6722;2078.09.06;179
Simó László;Rudnay Gy. utca 24/B;Szeged;6721;2060.09.30;174
Gergely Róbert;Kanyargós utca 13.;Szeged;6710;2048.08.09;160
Gránicz Gabriella;Pálffy utca 11.;Szeged;6720;2046.02.22;164
Bánfi Ferenc;Sallai u. 70.;Szeged;6721;2066.11.05;154
Katona Tamás;Zrínyi u. 21.;Szeged;6722;2085.09.18;152
Farkas Paula;Dózsa György utca 72.;Szeged;6722;2076.06.10;179
Mérges Ibolya;Táncsics Mihály utca 4/A;Szeged;6710;2045.02.18;171
Arany Ildikó;Rostély u. 14.;Szeged;6721;2045.03.07;151
Császár Zsuzsanna;Lázár u. 1/a 2.lh. fsz.2.;Szeged;6725;2066.01.18;153
Árva Dániel László;József A. u. 3.;Hódmezővásárhely;6800;2061.04.10;157
Blaskovics Bence;Magvető u.14.;Kecsekmét;6000;2076.02.11;175
Gilinger Katalin;Rudnay Gyula utca 2.;Kecsekmét;6000;2091.09.12;177
Geiszt Dávid Szabolcs;Lévai utca 90.;Hódmezővásárhely;6800;2046.11.13;173
Mónus Anna;Oldalkosár utca 7. VI. 31.;Szeged;6725;2053.02.26;157
Búza Anikó;Bánát utca 15.;Szeged;6722;2043.06.08;173
Juhász Gergő;József A. u. 3.;Szeged;6720;2075.07.03;162
Fodor Zsuzsanna;Vásárhelyi utca 63.;Hódmezővásárhely;6800;2049.08.09;170
Tamási Anita;Kapisztrán u. 48.;Szeged;6725;2082.07.10;159
Pál Zoltán;Lévai u. 24.;Szeged;6720;2048.04.21;178
Olasz Rita;Lőrincz pap u. 47.;Szeged;6721;2083.05.08;175
Lantos Tamás;Kert utca 32.;Szeged;6720;2069.04.03;156
Tatár Brigitta;Kohán György utca 3/C 3.em 7.ajtó;Kecsekmét;6000;2042.05.10;160
Mészáros Dávid;Kölcsey utca 37.;Kecsekmét;6000;2057.10.18;171
Nagy Erzsébet  Ágota;Hársfa utca 57.;Szeged;6710;2078.07.13;164
Rácz Valentin Attila;Sztahanov u. 11.;Hódmezővásárhely;6800;2053.01.25;160
Krajcsovics Magdolna;Róka utca 37.;Szeged;6722;2049.05.16;152
Dicső Margit;Hold utca 17.;Szeged;6721;2065.05.15;150
Szeri Ilona;Kodály Z. u. 2/A III.10.;Kecsekmét;6000;2057.02.18;174
Török László;Bajcsy Zs. E. u. 39.;Szeged;6710;2076.09.02;171
Dabis Flóra;Fő utca 86.;Szeged;6721;2079.10.21;163
Zsarkó Ágnes;Előd utca 18.;Szeged;6722;2074.09.21;180
Kass Éva;Nefelejcs u. 6;Szeged;6721;2084.04.10;163
Fári Péter Pál;Kereszt utca 26.;Szeged;6722;2045.11.05;160
Lantos Zsuzsanna Mária;Ábrai K. u.20.;Szeged;6722;2071.08.16;172
Koncz Dávid;Kaszap u. 15. 9/49.;Kecsekmét;6000;2067.03.29;170
Nagy Katalin;Kemény utca 4.;Kecsekmét;6000;2079.11.19;159
Vörös Erzsébet;Bartók Béla u. 32.;Kecsekmét;6000;2043.02.21;177
Buzás Mária;Zrínyi u. 12-14. 4/32.;Hódmezővásárhely;6800;2057.09.27;169
Nagy Margit;Klauzál utca 125.;Kecsekmét;6000;2079.04.09;173
Tóth Zsanett;Kodály Zoltán u. 8. III/16.;Szeged;6720;2044.05.15;155
Máté Erika;Lévai utca 3.;Szeged;6725;2062.02.02;169
Varga Éva;Szabadság utca 15.;Szeged;6721;2075.11.05;163
Gregus János;Dáni utca 59.;Szeged;6721;2078.10.06;158
Bihari László;Szent László utca 64.;Szeged;6722;2057.11.03;162
Mucsi Tamás;Akácfa utca 8.;Kecsekmét;6000;2083.11.29;153
Tóth Dávid;Papszék dűlő 32/A;Szeged;6710;2066.05.07;175
Líbor Erika;Jókai u. 32.;Szeged;6725;2073.03.16;164
Oláh Mária;Nádor u. 60/A;Kecsekmét;6000;2069.10.10;172
Klimó Zsuzsanna Katalin;Tompai út 29.;Szeged;6725;2089.07.30;153
Nagy Róbert;Mátyás u. 1.;Szeged;6710;2055.02.18;151
Molnár Hajnalka;Tanya 2043;Szeged;6710;2079.07.19;178
Megyeri Vilmos;Madách Imre utca 23.;Kecsekmét;6000;2092.03.07;157
Jesenszki György;Hosszú u. 73.;Szeged;6720;2044.01.21;153
Csordás Tamás Aladár;Nádor utca 16.;Hódmezővásárhely;6800;2080.02.22;151
Fári Anita;Bánk Bán u. 68.;Kecsekmét;6000;2066.06.21;157
Gyursánszki Teodóra;Kaszap utca 21. V. 15.;Szeged;6710;2076.03.22;177
Janó Margit;Gorkij u. 36.;Szeged;6720;2043.09.18;171
Kurunczi Mária Magdolna;Gyevi Tanyák 10.;Szeged;6720;2073.09.11;168
Tóth Krisztián;Szabadság tér 85.;Szeged;6720;2068.02.19;178
Kádár Zsolt;Bélacigány u. 20.;Szeged;6710;2041.11.25;179
Kristó Péter Imre;Lázár u. 1/a 2.lh. fsz.2.;Szeged;6710;2075.11.13;161
Magon Elvira;Tanya 3289.;Szeged;6725;2047.10.16;177
Sallai Mariann;Aranka u 43;Szeged;6722;2045.01.04;178
Horváth Viktória Éva;Lévai u. 24.;Hódmezővásárhely;6800;2066.03.07;159
Tóth Dénes;Vásárhelyi utca 63.;Szeged;6721;2052.02.09;167
Hegedűs Éva  Alexandra;Ormos Ede utca 14.;Szeged;6721;2080.03.25;159
Barta Mónika;Rudnay Gyula 16. IV.12.;Szeged;6722;2045.11.08;157
Cserháti Gyula;Éva utca 11. 3.e. 8.;Szeged;6710;2078.07.09;171
Szabó Etelka Ibolya;Kossuth u. 46.;Hódmezővásárhely;6800;2072.02.20;162
Faur Beatrix;Eke utca 61.;Szeged;6710;2082.10.19;163
Molnár Viktor;Síp u.2.;Szeged;6721;2083.11.15;179
Dán Tünde;Szabadság utca 27.;Szeged;6725;2070.05.08;164
Szczepa Dániel;Héthalmi tanya 15/1;Szeged;6720;2046.01.27;161
Horváth Tamás;Hajnal u. 17.;Szeged;6710;2076.03.14;178
Vízi Katalin;Mester utca 3.;Szeged;6721;2087.09.27;166
Dani Zoltán;Jókai utca 255.;Szeged;6721;2052.07.27;157
Pap Lajos;Kistópart u. 7. 5/18;Szeged;6722;2075.10.17;172
Somodi Réka;Szent László u. 1.;Hódmezővásárhely;6800;2055.08.07;160
Kirtyán János;Malom u. 10.;Szeged;6725;2058.03.25;153
Duránszkai Dániel;Kodály Z. u. 2/A III.10.;Szeged;6725;2072.07.16;166
Kürtösi Katalin Rita;Petőfi Sándor u. 6.;Hódmezővásárhely;6800;2050.02.05;166
Gulyás Tamás;Dózsa Gy. Útja 46.;Szeged;6720;2078.01.13;169
Kardos Ildikó;Tompa Mihály u. 1.;Hódmezővásárhely;6800;2083.09.15;180
Kádár László Tamás;Mester utca 43.;Szeged;6720;2051.03.15;167
Rokolya Benjámin;Rárósi utca 32.;Szeged;6721;2089.04.02;154
Nagy Éva;Kodály Zoltán utca 11.;Hódmezővásárhely;6800;2060.09.06;160
Fülöp Petra;Ady Endre utca 38.;Szeged;6720;2044.09.25;167
